frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_NM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_NM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_NM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_NM_dBuA,error_NM_PY_minus_LT_dB,LT_I_NM_phase_deg,PY_I_NM_phase_deg
234.42288153199337,0.9882649360409982,0.9882649360409812,0.9882649360409897,0.9882649360409974,0.9882649360409974,0.9882649360409974,119.89746773459655,119.89746773459638,119.89746773459645,119.89746773459652,119.89746773459652,119.89746773459652,7.105427357601002e-14,-0.6372784901909655,-0.6372784901900614
237.1373705661667,0.9882796594080526,0.9882796594080681,0.9882796594080605,0.9882796594080521,0.9882796594080521,0.9882796594080521,119.89759713773941,119.89759713773952,119.89759713773948,119.89759713773938,119.89759713773938,119.89759713773938,-9.947598300641403e-14,-0.6446710345495426,-0.644671034550485
239.8832919019503,0.9882947260272376,0.9882947260272769,0.9882947260272571,0.9882947260272391,0.9882947260272391,0.9882947260272391,119.8977295557171,119.89772955571746,119.89772955571729,119.89772955571712,119.89772955571712,119.89772955571712,-1.7053025658242404e-13,-0.6521496449632432,-0.6521496449652225
242.66100950824278,0.9883101439081132,0.988310143908184,0.9883101439081484,0.9883101439081118,0.9883101439081118,0.9883101439081118,119.89786505878482,119.89786505878543,119.89786505878511,119.89786505878479,119.89786505878479,119.89786505878479,-3.268496584496461e-13,-0.6597153343668821,-0.6597153343705489
245.4708915685043,0.9883259212474594,0.9883259212474985,0.988325921247479,0.988325921247458,0.988325921247458,0.988325921247458,119.89800371883534,119.89800371883568,119.89800371883553,119.89800371883533,119.89800371883533,119.89800371883533,-1.9895196601282805e-13,-0.6673691280050593,-0.6673691280072012
248.31331052955835,0.9883420664336952,0.9883420664336644,0.9883420664336798,0.9883420664336948,0.9883420664336948,0.9883420664336948,119.89814560943782,119.89814560943755,119.89814560943769,119.89814560943782,119.89814560943782,119.89814560943782,1.2789769243681803e-13,-0.6751120635847205,-0.675112063583112
251.18864315095934,0.9883585880513643,0.988358588051401,0.9883585880513827,0.9883585880513631,0.9883585880513631,0.9883585880513631,119.89829080587654,119.89829080587685,119.8982908058767,119.89829080587653,119.89829080587653,119.89829080587653,-1.7053025658242404e-13,-0.6829451914367383,-0.6829451914387953
254.09727055493187,0.9883754948857328,0.9883754948857331,0.988375494885733,0.9883754948857318,0.9883754948857318,0.9883754948857318,119.898439385191,119.898439385191,119.898439385191,119.898439385191,119.898439385191,119.898439385191,0.0,-0.6908695747152044,-0.6908695747152789
257.03957827688777,0.9883927959275088,0.9883927959275314,0.9883927959275199,0.9883927959275094,0.9883927959275094,0.9883927959275094,119.89859142621694,119.89859142621714,119.89859142621704,119.89859142621695,119.89859142621695,119.89859142621695,-8.526512829121202e-14,-0.6988862895237378,-0.6988862895249435
260.0159563165286,0.9884105003776663,0.9884105003777235,0.9884105003776948,0.9884105003776663,0.9884105003776663,0.9884105003776663,119.89874700962827,119.89874700962875,119.89874700962851,119.89874700962827,119.89874700962827,119.89874700962827,-2.4158453015843406e-13,-0.7069964251218427,-0.7069964251249214
