harmonic_n,frequency_Hz,dm_source_rms_A,cm_source_total_rms_A,dm_transfer_abs,cm_transfer_abs,dm_at_LDM1_rms_A,cm_at_LDM1_rms_A,dm_at_LDM1_dBuA,cm_at_LDM1_dBuA,ce03_limit_dBuA,dm_margin_dB,cm_margin_dB
6.500000000000000000e+01,8.125000000000000000e+06,5.192701793078081593e-03,1.038540358615616302e-04,2.840966991437399384e-11,2.843465028719371164e-04,1.475229439051262728e-13,2.953053190637179496e-08,-1.366228085921599700e+02,-3.059457460833018416e+01,2.000000000000000000e+01,1.566228085921599700e+02,5.059457460833018416e+01
6.600000000000000000e+01,8.250000000000000000e+06,2.475140276134258462e-18,4.950280552268517501e-20,2.054038950859219927e-11,2.062313762332950589e-04,5.084034536020211679e-29,1.020903171035252242e-23,-4.458758301586152584e+02,-3.398203089443395584e+02,2.000000000000000000e+01,4.658758301586152584e+02,3.598203089443395584e+02
6.700000000000000000e+01,8.375000000000000000e+06,4.941753539562426106e-03,9.883507079124852592e-05,1.324316291539707807e-11,1.339823032367614308e-04,6.544444721216536243e-14,1.324215042517984308e-08,-1.436825439257082166e+02,-3.756082966053264727e+01,2.000000000000000000e+01,1.636825439257082166e+02,5.756082966053264727e+01
6.800000000000000000e+01,8.500000000000000000e+06,1.418197487700270161e-17,2.836394975400539801e-19,6.502440904610217254e-12,6.658573848381545395e-05,9.221745354837682474e-29,1.888634540688285058e-23,-4.407037374873023055e+02,-3.344770414378330656e+02,2.000000000000000000e+01,4.607037374873023055e+02,3.544770414378330656e+02
6.900000000000000000e+01,8.625000000000000000e+06,4.703569167095889535e-03,9.407138334191778039e-05,3.026275258869066262e-13,3.150811045649227580e-06,1.423429499876167208e-15,2.964011537132172694e-10,-1.769332807575265747e+02,-7.056240220479151048e+01,2.000000000000000000e+01,1.969332807575265747e+02,9.056240220479151048e+01
7.000000000000000000e+01,8.750000000000000000e+06,3.597265652525050397e-17,7.194531305050101371e-19,5.371849962299859809e-12,5.712880223052980126e-05,1.932397135989927352e-28,4.110149560675627191e-23,-4.342780722970770739e+02,-3.277228474934063343e+02,2.000000000000000000e+01,4.542780722970770739e+02,3.477228474934063343e+02
7.100000000000000000e+01,8.875000000000000000e+06,4.477152255269579648e-03,8.954304510539159621e-05,1.053645512829799468e-11,1.150083506661891817e-04,4.717331384020609371e-14,1.029819793119927163e-08,-1.465260722855738891e+02,-3.974477530591163799e+01,2.000000000000000000e+01,1.665260722855738891e+02,5.974477530591163799e+01
7.200000000000000000e+01,9.000000000000000000e+06,1.925766030854491625e-17,3.851532061708983424e-19,1.520650858023651209e-11,1.712246531521793001e-04,2.928417767171683989e-28,6.594772413706187838e-23,-4.306673393375522210e+02,-3.236160037481506606e+02,2.000000000000000000e+01,4.506673393375522210e+02,3.436160037481506606e+02
7.300000000000000000e+01,9.125000000000000000e+06,4.261616808131664207e-03,8.523233616263329281e-05,1.939713248108049359e-11,2.265303779041399890e-04,8.266314581092927634e-14,1.930771332057401621e-08,-1.416537614264452145e+02,-3.428538316352339166e+01,2.000000000000000000e+01,1.616537614264452145e+02,5.428538316352339166e+01
7.400000000000000000e+01,9.250000000000000000e+06,4.068203832990797036e-18,8.136407665981593831e-20,2.312321626297788256e-11,2.817343755891519121e-04,9.406995703212175474e-29,2.292305733314113257e-23,-4.405309810869121065e+02,-3.327945491875284461e+02,2.000000000000000000e+01,4.605309810869121065e+02,3.527945491875284461e+02
7.500000000000000000e+01,9.375000000000000000e+06,4.056172445833191795e-03,8.112344891666385433e-05,2.639938686001895745e-11,3.377534903463391518e-04,1.070804655684997249e-13,2.739972802053616143e-08,-1.394057949847803854e+02,-3.124507496239996485e+01,2.000000000000000000e+01,1.594057949847803854e+02,5.124507496239996840e+01
7.600000000000000000e+01,9.500000000000000000e+06,4.653082306470653613e-17,9.306164612941305377e-19,2.923998457827117196e-11,3.956846142300385100e-04,1.360560548826283715e-27,3.682306154832915872e-22,-4.173256425222120924e+02,-3.086776021231200389e+02,2.000000000000000000e+01,4.373256425222120924e+02,3.286776021231200389e+02
7.700000000000000000e+01,9.625000000000000000e+06,3.860111903031239900e-03,7.720223806062478553e-05,3.165904351147284401e-11,4.569117413780411554e-04,1.222074506972202677e-13,3.527460903056216071e-08,-1.382580463077207469e+02,-2.905075582181129690e+01,2.000000000000000000e+01,1.582580463077207469e+02,4.905075582181129334e+01
7.800000000000000000e+01,9.750000000000000000e+06,3.136139670581446916e-17,6.272279341162894411e-19,3.367027551232254757e-11,5.232745259766012538e-04,1.055946867536017939e-27,3.282123999039842598e-22,-4.195271586761283515e+02,-3.096769003055032385e+02,2.000000000000000000e+01,4.395271586761283515e+02,3.296769003055032385e+02
7.900000000000000000e+01,9.875000000000000000e+06,3.672800425353527944e-03,7.345600850707054586e-05,3.528705678256383630e-11,5.973488589353574511e-04,1.296023171604745572e-13,4.387886286364450186e-08,-1.377477446728561006e+02,-2.715489271695267348e+01,2.000000000000000000e+01,1.577477446728561006e+02,4.715489271695267348e+01
8.000000000000000000e+01,1.000000000000000000e+07,1.754793852000619909e-17,3.509587704001239625e-19,3.652241615605868520e-11,6.829421203688933141e-04,6.408931133085989211e-28,2.396845268191202484e-22,-4.238642879016981055e+02,-3.124072000313816488e+02,2.000000000000000000e+01,4.438642879016981055e+02,3.324072000313816488e+02
8.100000000000000000e+01,1.012500000000000000e+07,3.493666735959665478e-03,6.987333471919330739e-05,3.738902410933457337e-11,7.860279390402046592e-04,1.306247898207761653e-13,5.492239328319389524e-08,-1.376794879067443844e+02,-2.520501092650669506e+01,2.000000000000000000e+01,1.576794879067443844e+02,4.520501092650669506e+01
