frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_NM_phase_deg
4.315190768277649909e+02,9.897761699920953893e-01,9.897761699920953893e-01,9.897761699920953893e-01,1.199107398691648854e+02,1.199107398691648854e+02,1.199107398691648854e+02,-1.175551409245783496e+00
4.365158322401661053e+02,9.898261614929668717e-01,9.898261614929668717e-01,9.898261614929668717e-01,1.199111785640003092e+02,1.199111785640003092e+02,1.199111785640003092e+02,-1.189246213195203516e+00
4.415704473533125451e+02,9.898773209052621480e-01,9.898773209052621480e-01,9.898773209052621480e-01,1.199116274847737316e+02,1.199116274847737316e+02,1.199116274847737316e+02,-1.203102503081085128e+00
4.466835921509630225e+02,9.899296755963759020e-01,9.899296755963759020e-01,9.899296755963759020e-01,1.199120868700269114e+02,1.199120868700269114e+02,1.199120868700269114e+02,-1.217122251371329344e+00
4.518559443749226148e+02,9.899832535788778420e-01,9.899832535788778420e-01,9.899832535788778420e-01,1.199125569638742661e+02,1.199125569638742661e+02,1.199125569638742661e+02,-1.231307456999699346e+00
4.570881896148752048e+02,9.900380835259074974e-01,9.900380835259074974e-01,9.900380835259074974e-01,1.199130380161336120e+02,1.199130380161336120e+02,1.199130380161336120e+02,-1.245660145801038565e+00
4.623810213992603622e+02,9.900941947869379423e-01,9.900941947869379423e-01,9.900941947869379423e-01,1.199135302824596891e+02,1.199135302824596891e+02,1.199135302824596891e+02,-1.260182370956087983e+00
4.677351412871981324e+02,9.901516174039323159e-01,9.901516174039323159e-01,9.901516174039323159e-01,1.199140340244810119e+02,1.199140340244810119e+02,1.199140340244810119e+02,-1.274876213446197948e+00
4.731512589614802664e+02,9.902103821278904761e-01,9.902103821278904761e-01,9.902103821278904761e-01,1.199145495099399170e+02,1.199145495099399170e+02,1.199145495099399170e+02,-1.289743782518344872e+00
4.786300923226385180e+02,9.902705204358051017e-01,9.902705204358051017e-01,9.902705204358051017e-01,1.199150770128358658e+02,1.199150770128358658e+02,1.199150770128358658e+02,-1.304787216160517627e+00
4.841723675840993906e+02,9.903320645480271356e-01,9.903320645480271356e-01,9.903320645480271356e-01,1.199156168135721146e+02,1.199156168135721146e+02,1.199156168135721146e+02,-1.320008681588017208e+00
4.897788193684461362e+02,9.903950474460658793e-01,9.903950474460658793e-01,9.903950474460658793e-01,1.199161691991060081e+02,1.199161691991060081e+02,1.199161691991060081e+02,-1.335410375740858857e+00
